id, latitud, longitud
Chile,-33.4724728,-70.9100251
Argentina,-34.6157142,-58.5033608
Brazil-22.1337539,-59.6462299
Bolivia,-19.4663162,-66.7613883
Paraguay,-25.3986483,-58.4343786
Peru,-18.9564833,-100.4751741
Colombia,4.2231008,-76.0058671
Venezuela,10.899055,-70.2238591
Ecuador,-1.3379155,-80.1086113
Uruguay,-34.9458096,-58.2655125
Cuba,22.3941897,-84.7774661
Jamaica,17.8908874,-77.5303114
Honduras,14.5144718,-89.478355
Guatemala,14.6262096,-90.5626014
Panama,8.9058462,-82.0660212
Mexico,17.57456,-104.3337142
Canada,43.5518302,-85.4170199
United States,38.4226969,-78.6332751
